Lettera;Codice Ateco 2007;Descrizione
C;256;"TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE"
C;2561;Trattamento e rivestimento dei metalli
C;25610;Trattamento e rivestimento dei metalli
C;256100;Trattamento e rivestimento dei metalli
C;2562;Lavori di meccanica generale
C;25620;Lavori di meccanica generale
C;256200;Lavori di meccanica generale
C;257;FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA
C;2571;Fabbricazione di articoli di coltelleria e posateria
C;25710;Fabbricazione di articoli di coltelleria, posateria ed armi bianche
C;257100;Fabbricazione di articoli di coltelleria, posateria ed armi bianche
C;2572;Fabbricazione di serrature e cerniere
C;25720;Fabbricazione di serrature e cerniere e ferramenta simili
C;257200;Fabbricazione di serrature e cerniere e ferramenta simili
C;2573;Fabbricazione di utensileria
C;25731;"Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili"
C;257311;Fabbricazione di utensileria ad azionamento manuale
C;257312;Fabbricazione di parti intercambiabili per macchine utensili
C;25732;Fabbricazione di stampi, portastampi, sagome, forme per macchine
C;257320;Fabbricazione di stampi, portastampi, sagome, forme per macchine
C;259;FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO
C;2591;Fabbricazione di bidoni in acciaio e di contenitori analoghi
C;25910;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio
C;259100;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio
C;2592;Fabbricazione di imballaggi leggeri in metallo
C;25920;Fabbricazione di imballaggi leggeri in metallo
C;259200;Fabbricazione di imballaggi leggeri in metallo
C;2593;Fabbricazione di prodotti fabbricati con fili metallici, catene e molle
C;25931;Fabbricazione di prodotti fabbricati con fili metallici
C;259310;Fabbricazione di prodotti fabbricati con fili metallici
C;25932;Fabbricazione di molle
C;259320;Fabbricazione di molle
C;25933;Fabbricazione di catene fucinate senza saldatura e stampate
C;259330;Fabbricazione di catene fucinate senza saldatura e stampate
C;2594;Fabbricazione di articoli di bulloneria
C;25940;Fabbricazione di articoli di bulloneria
C;259400;Fabbricazione di articoli di bulloneria
C;2599;Fabbricazione di altri prodotti in metallo nca
C;25991;Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno
C;259911;Fabbricazione di caraffe e bottiglie isolate in metallo
C;259919;Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno
C;25992;Fabbricazione di casseforti, forzieri e porte metalliche blindate
C;259920;Fabbricazione di casseforti, forzieri e porte metalliche blindate
C;25993;Fabbricazione di oggetti in ferro, in rame ed altri metalli
C;259930;Fabbricazione di oggetti in ferro, in rame ed altri metalli
C;25999;Fabbricazione di altri articoli metallici e minuteria metallica
C;259991;Fabbricazione di magneti metallici permanenti
C;259999;Fabbricazione di altri articoli metallici e minuteria metallica nca
C;26;"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI"
C;261;FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE
C;2611;Fabbricazione di componenti elettronici
C;26110;Fabbricazione di componenti elettronici
C;261101;Fabbricazione di diodi, transistor e relativi congegni elettronici
C;261109;Fabbricazione di altri componenti elettronici
C;2612;Fabbricazione di schede elettroniche assemblate
C;26120;Fabbricazione di schede elettroniche assemblate
C;261200;Fabbricazione di schede elettroniche assemblate
C;262;FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE
C;2620;Fabbricazione di computer e unità periferiche
C;26200;Fabbricazione di computer e unità periferiche
C;262000;Fabbricazione di computer e unità periferiche
C;263;FABBRICAZIONE DI APPARECCHIATURE PER LE TELECOMUNICAZIONI
C;2630;Fabbricazione di apparecchiature per le telecomunicazioni
C;26301;Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)
C;263010;Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)
C;26302;Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni
C;263021;Fabbricazione di sistemi antifurto e antincendio
C;263029;Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni
C;264;FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO AUDIO E VIDEO
C;2640;Fabbricazione di prodotti di elettronica di consumo audio e video
C;26400;Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini
C;264001;Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini
C;264002;Fabbricazione di console per videogiochi (esclusi i giochi elettronici)
C;265;"FABBRICAZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, PROVA E NAVIGAZIONE; OROLOGI"
C;2651;Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione (esclusi quelli ottici)
C;26511;Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia
C;265110;Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia
C;26512;Fabbricazione di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione, di apparecchi di misura e regolazione (incluse parti staccate e accessori)
C;265121;Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector
C;265129;Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)
C;2652;Fabbricazione di orologi
C;26520;Fabbricazione di orologi
C;265200;Fabbricazione di orologi
C;266;FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE
C;2660;Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche
C;26600;Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche
C;266001;Fabbricazione di apparecchiature di irradiazione per alimenti e latte
C;266002;Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori)
C;266009;Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche
C;267;FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE
C;2670;Fabbricazione di strumenti ottici e attrezzature fotografiche
C;26701;Fabbricazione di elementi ottici e strumenti ottici di misura, controllo e precisione
C;267011;Fabbricazione di elementi ottici e strumenti ottici di precisione
C;267012;Fabbricazione di attrezzature ottiche di misurazione e controllo
C;26702;Fabbricazione di apparecchiature fotografiche e cinematografiche
C;267020;Fabbricazione di apparecchiature fotografiche e cinematografiche
C;268;FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI
C;2680;Fabbricazione di supporti magnetici ed ottici
C;26800;Fabbricazione di supporti magnetici ed ottici
C;268000;Fabbricazione di supporti magnetici ed ottici
C;27;FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE
C;271;FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ
C;2711;Fabbricazione di motori, generatori e trasformatori elettrici
C;27110;Fabbricazione di motori, generatori e trasformatori elettrici
C;271100;Fabbricazione di motori, generatori e trasformatori elettrici
C;2712;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
C;27120;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
C;271200;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
C;272;FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI
C;2720;Fabbricazione di batterie di pile ed accumulatori elettrici
C;27200;Fabbricazione di batterie di pile ed accumulatori elettrici
C;272000;Fabbricazione di batterie di pile ed accumulatori elettrici
C;273;FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO
C;2731;Fabbricazione di cavi a fibra ottica
C;27310;Fabbricazione di cavi a fibra ottica
C;273101;Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini
C;273102;Fabbricazione di fibre ottiche
C;2732;Fabbricazione di altri fili e cavi elettrici ed elettronici
C;27320;Fabbricazione di altri fili e cavi elettrici ed elettronici
C;273200;Fabbricazione di altri fili e cavi elettrici ed elettronici
C;2733;Fabbricazione di attrezzature per cablaggio
C;27330;Fabbricazione di attrezzature per cablaggio
C;273301;Fabbricazione di apparecchiature in plastica non conduttiva
C;273309;Fabbricazione di altre attrezzature per cablaggio
C;274;FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE
C;2740;Fabbricazione di apparecchiature per illuminazione
C;27400;Fabbricazione di apparecchiature per illuminazione
C;274001;Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto
C;274002;Fabbricazione di luminarie per feste
C;274009;Fabbricazione di altre apparecchiature per illuminazione
C;275;FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO
C;2751;Fabbricazione di elettrodomestici
C;27510;Fabbricazione di elettrodomestici
C;275100;Fabbricazione di elettrodomestici
C;2752;Fabbricazione di apparecchi per uso domestico non elettrici
C;27520;Fabbricazione di apparecchi per uso domestico non elettrici
C;275200;Fabbricazione di apparecchi per uso domestico non elettrici
C;279;FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE
C;2790;Fabbricazione di altre apparecchiature elettriche
C;27900;Fabbricazione di altre apparecchiature elettriche
C;279001;Fabbricazione di apparecchiature elettriche per saldature e brasature
C;279002;Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione
C;279003;Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori
C;279009;Fabbricazione di altre apparecchiature elettriche nca
C;28;FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA
C;281;FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE
C;2811;Fabbricazione di motori e turbine (esclusi i motori per aeromobili, veicoli e motocicli)
C;28111;Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili)
C;281111;Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili)
C;281112;Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna
C;28112;Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
C;281120;Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
C;2812;Fabbricazione di apparecchiature fluidodinamiche
C;28120;Fabbricazione di apparecchiature fluidodinamiche
C;281200;Fabbricazione di apparecchiature fluidodinamiche
C;2813;Fabbricazione di altre pompe e compressori
C;28130;Fabbricazione di altre pompe e compressori
C;281300;Fabbricazione di altre pompe e compressori
C;2814;Fabbricazione di altri rubinetti e valvole
C;28140;Fabbricazione di altri rubinetti e valvole
C;281400;Fabbricazione di altri rubinetti e valvole
C;2815;Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)
C;28151;Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)
C;281510;Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)
C;28152;Fabbricazione di cuscinetti a sfere
C;281520;Fabbricazione di cuscinetti a sfere
C;282;FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE
C;2821;Fabbricazione di forni, bruciatori e sistemi di riscaldamento
C;28211;Fabbricazione di forni, fornaci e bruciatori
C;282110;Fabbricazione di forni, fornaci e bruciatori
C;28212;Fabbricazione di sistemi di riscaldamento
C;282121;Fabbricazione di caldaie per riscaldamento
C;282129;Fabbricazione di altri sistemi per riscaldamento
C;2822;Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
C;28220;Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
C;282201;Fabbricazione di ascensori, montacarichi e scale mobili
C;282202;Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli
C;282203;Fabbricazione di carriole
C;282209;Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
C;2823;Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
C;28230;Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
C;282301;Fabbricazione di cartucce toner
C;282309;Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche)
C;2824;Fabbricazione di utensili portatili a motore
C;28240;Fabbricazione di utensili portatili a motore
C;282400;Fabbricazione di utensili portatili a motore
C;2825;Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
C;28250;"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi"
C;282500;"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi"
C;2829;Fabbricazione di altre macchine di impiego generale nca
C;28291;Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
C;282910;Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
C;28292;Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)
C;282920;Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)
C;28293;Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)
C;282930;Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)
C;28299;Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca
C;282991;Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico
C;282992;Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
C;282993;Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)
C;282999;Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca
C;283;FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA
C;2830;Fabbricazione di macchine per l'agricoltura e la silvicoltura
C;28301;Fabbricazione di trattori agricoli
C;283010;Fabbricazione di trattori agricoli
C;28309;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
C;283090;Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia
C;284;FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
C;2841;Fabbricazione di macchine utensili per la formatura dei metalli
C;28410;Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili)
C;284100;Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili)
C;2849;Fabbricazione di altre macchine utensili
C;28490;Fabbricazione di altre macchine utensili (incluse parti e accessori)
C;284901;Fabbricazione di macchine per la galvanostegia
C;284909;Fabbricazione di altre macchine utensili (incluse parti e accessori) nca
C;289;FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI
C;2891;Fabbricazione di macchine per la metallurgia
C;28910;Fabbricazione di macchine per la metallurgia (incluse parti e accessori)
C;289100;Fabbricazione di macchine per la metallurgia (incluse parti e accessori)
C;2892;Fabbricazione di macchine da miniera, cava e cantiere
C;28920;Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)
C;289201;Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri
C;289209;Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)
C;2893;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco
C;28930;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)
C;289300;Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)
C;2894;Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio (incluse parti e accessori)
C;28941;Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)
C;289410;Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)
C;28942;Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)
C;289420;Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)
C;28943;Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
C;289430;Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
C;2895;Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
C;28950;Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
C;289500;Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
C;2896;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
C;28960;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
C;289600;Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
C;2899;Fabbricazione di macchine per impieghi speciali nca (incluse parti e accessori)
C;28991;Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
C;289910;Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
C;28992;Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
C;289920;Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
C;28993;Fabbricazione di apparecchi per istituti di bellezza e centri di benessere
C;289930;Fabbricazione di apparecchi per istituti di bellezza e centri di benessere
C;28999;Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori)
C;289991;Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili
C;289992;Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento
C;289993;"Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento"
C;289999;Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori)
C;29;FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
C;291;FABBRICAZIONE DI AUTOVEICOLI
C;2910;Fabbricazione di autoveicoli
C;29100;Fabbricazione di autoveicoli
C;291000;Fabbricazione di autoveicoli
C;292;FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
C;2920;Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi
C;29200;Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi
C;292000;Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi
C;293;FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI
C;2931;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
C;29310;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
C;293100;Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
C;2932;Fabbricazione di altre parti ed accessori per autoveicoli
C;29320;Fabbricazione di altre parti ed accessori per autoveicoli
C;293201;Fabbricazione di sedili per autoveicoli
C;293209;Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca
C;30;FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO
C;301;COSTRUZIONE DI NAVI E IMBARCAZIONI
C;3011;Costruzione di navi e di strutture galleggianti
C;30110;Cantieri navali per costruzioni metalliche e non metalliche
C;301101;Fabbricazione di sedili per navi
C;301102;Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi)
C;3012;Costruzione di imbarcazioni da diporto e sportive
C;30120;Costruzione di imbarcazioni da diporto e sportive
C;301200;Costruzione di imbarcazioni da diporto e sportive
C;302;COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO
C;3020;Costruzione di locomotive e di materiale rotabile ferro-tranviario
C;30200;Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere
C;302001;Fabbricazione di sedili per tram, filovie e metropolitane
C;302002;Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere
C;303;FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI
C;3030;Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi
C;30300;Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi
C;303001;Fabbricazione di sedili per aeromobili
C;303002;Fabbricazione di missili balistici
C;303009;Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca
C;304;FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO
C;3040;Fabbricazione di veicoli militari da combattimento
C;30400;Fabbricazione di veicoli militari da combattimento
C;304000;Fabbricazione di veicoli militari da combattimento
C;309;FABBRICAZIONE DI MEZZI DI TRASPORTO NCA
C;3091;Fabbricazione di motocicli (inclusi i motori)
C;30911;Fabbricazione di motocicli e motoveicoli (inclusi i motori)
C;309111;Fabbricazione di motori per motocicli
C;309112;Fabbricazione di motocicli
C;30912;Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori
C;309120;Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori
C;3092;Fabbricazione di biciclette e veicoli per invalidi
C;30921;Fabbricazione e montaggio di biciclette
C;309210;Fabbricazione e montaggio di biciclette
C;30922;Fabbricazione di parti ed accessori per biciclette
C;309220;Fabbricazione di parti ed accessori per biciclette
C;30923;Fabbricazione di veicoli per invalidi (incluse parti e accessori)
C;309230;Fabbricazione di veicoli per invalidi (incluse parti e accessori)
C;30924;Fabbricazione di carrozzine e passeggini per neonati
C;309240;Fabbricazione di carrozzine e passeggini per neonati
C;3099;Fabbricazione di altri mezzi di trasporto nca
C;30990;Fabbricazione di veicoli a trazione manuale o animale
C;309900;Fabbricazione di veicoli a trazione manuale o animale
C;31;FABBRICAZIONE DI MOBILI
C;310;FABBRICAZIONE DI MOBILI
C;3101;Fabbricazione di mobili per ufficio e negozi
C;31011;Fabbricazione di sedie e poltrone per ufficio e negozi
C;310110;Fabbricazione di sedie e poltrone per ufficio e negozi
C;31012;Fabbricazione di altri mobili per ufficio e negozi
C;310121;Fabbricazione di altri mobili metallici per ufficio e negozi
C;310122;Fabbricazione di altri mobili non metallici per ufficio e negozi
C;3102;Fabbricazione di mobili per cucina
C;31020;Fabbricazione di mobili per cucina
C;310200;Fabbricazione di mobili per cucina
C;3103;Fabbricazione di materassi
C;31030;Fabbricazione di materassi
C;310300;Fabbricazione di materassi
C;3109;Fabbricazione di altri mobili
C;31091;Fabbricazione di mobili per arredo domestico
C;310910;Fabbricazione di mobili per arredo domestico
C;31092;Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)
C;310920;Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)
C;31093;Fabbricazione di poltrone e divani
C;310930;Fabbricazione di poltrone e divani
C;31094;Fabbricazione di parti e accessori di mobili
C;310940;Fabbricazione di parti e accessori di mobili
C;31095;Finitura di mobili
C;310950;Finitura di mobili
C;31099;Fabbricazione di altri mobili (inclusi quelli per arredo esterno)
C;310990;Fabbricazione di altri mobili (inclusi quelli per arredo esterno)
C;32;ALTRE INDUSTRIE MANIFATTURIERE
C;321;"FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE"
C;3211;Coniazione di monete
C;32110;Coniazione di monete
C;321100;Coniazione di monete
C;3212;Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi
C;32121;Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
C;321210;Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
C;32122;Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
C;321220;Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
C;3213;Fabbricazione di bigiotteria e articoli simili
C;32130;Fabbricazione di bigiotteria e articoli simili
C;321301;Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi)
C;321309;Fabbricazione di bigiotteria e articoli simili nca
C;322;FABBRICAZIONE DI STRUMENTI MUSICALI
C;3220;Fabbricazione di strumenti musicali
C;32200;Fabbricazione di strumenti musicali (incluse parti e accessori)
C;322000;Fabbricazione di strumenti musicali (incluse parti e accessori)
C;323;FABBRICAZIONE DI ARTICOLI SPORTIVI
C;3230;Fabbricazione di articoli sportivi
C;32300;Fabbricazione di articoli sportivi
C;323000;Fabbricazione di articoli sportivi
C;324;FABBRICAZIONE DI GIOCHI E GIOCATTOLI
C;3240;Fabbricazione di giochi e giocattoli
C;32401;Fabbricazione di giochi (inclusi i giochi elettronici)
C;324010;Fabbricazione di giochi (inclusi i giochi elettronici)
C;32402;Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
C;324020;Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
C;325;FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE
C;3250;Fabbricazione di strumenti e forniture mediche e dentistiche
C;32501;Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)
C;325011;Fabbricazione di materiale medico-chirurgico e veterinario
C;325012;Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori)
C;325013;Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario
C;325014;Fabbricazione di centrifughe per laboratori
C;32502;Fabbricazione di protesi dentarie (inclusa riparazione)
C;325020;Fabbricazione di protesi dentarie (inclusa riparazione)
C;32503;Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)
C;325030;Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)
C;32504;Fabbricazione di lenti oftalmiche
C;325040;Fabbricazione di lenti oftalmiche
C;32505;"Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni"
C;325050;"Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni"
C;329;INDUSTRIE MANIFATTURIERE NCA
C;3291;Fabbricazione di scope e spazzole
C;32910;Fabbricazione di scope e spazzole
C;329100;Fabbricazione di scope e spazzole
C;3299;Altre industrie manifatturiere nca
C;32991;Fabbricazione di attrezzature ed articoli di vestiario protettivi di sicurezza
C;329911;Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza
C;329912;Fabbricazione di articoli in plastica per la sicurezza personale
C;329913;Fabbricazione di articoli in metallo per la sicurezza personale
C;329914;Fabbricazione di maschere antigas
C;329919;Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza
C;32992;Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini
C;329920;Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini
C;32993;Fabbricazione di oggetti di cancelleria
C;329930;Fabbricazione di oggetti di cancelleria
C;32994;Fabbricazione di casse funebri
C;329940;Fabbricazione di casse funebri
C;32999;Fabbricazione di altri articoli nca
